timestamp_s,id,type,color,color_r,color_g,color_b,icon,x,y
10.87,capture_zone,#ffFFFA,255,255,250,capture_zone,0.434469,0.499941
10.87,capture_zone,#ffFFFA,255,255,250,capture_zone,0.544153,0.49999
10.87,capture_zone,#ffFFFA,255,255,250,capture_zone,0.759153,0.498843
11.41,capture_zone,#ffFFFA,255,255,250,capture_zone,0.434469,0.499941
11.41,capture_zone,#ffFFFA,255,255,250,capture_zone,0.544153,0.49999
11.41,capture_zone,#ffFFFA,255,255,250,capture_zone,0.759153,0.498843
29.06,capture_zone,#ffFFFA,255,255,250,capture_zone,0.434469,0.499941
29.06,capture_zone,#ffFFFA,255,255,250,capture_zone,0.544153,0.49999
29.06,capture_zone,#ffFFFA,255,255,250,capture_zone,0.759153,0.498843
29.59,capture_zone,#ffFFFA,255,255,250,capture_zone,0.434469,0.499941
29.59,capture_zone,#ffFFFA,255,255,250,capture_zone,0.544153,0.49999
29.59,capture_zone,#ffFFFA,255,255,250,capture_zone,0.759153,0.498843
31.19,capture_zone,#ffFFFA,255,255,250,capture_zone,0.434469,0.499941
31.19,capture_zone,#ffFFFA,255,255,250,capture_zone,0.544153,0.49999
31.19,capture_zone,#ffFFFA,255,255,250,capture_zone,0.759153,0.498843
31.75,ground_model,#1839A7,24,57,167,LightTank,0.549087,0.315873
31.75,ground_model,#1839A7,24,57,167,MediumTank,0.667818,0.33379
31.75,ground_model,#1839A7,24,57,167,MediumTank,0.677248,0.330631
31.75,ground_model,#1839A7,24,57,167,MediumTank,0.536409,0.315284
31.75,ground_model,#1839A7,24,57,167,MediumTank,0.66898,0.336609
31.75,ground_model,#67D756,103,215,86,MediumTank,0.555201,0.317056
31.75,ground_model,#1839A7,24,57,167,TankDestroyer,0.675305,0.332579
31.75,ground_model,#1839A7,24,57,167,MediumTank,0.672338,0.334095
31.75,ground_model,#1839A7,24,57,167,LightTank,0.539235,0.316422
31.75,ground_model,#1839A7,24,57,167,LightTank,0.53413,0.31587
31.75,ground_model,#1839A7,24,57,167,LightTank,0.664395,0.335169
